unique_id,station_unique_id,line,mode,platform_number,platform_naptan_code,cardinal_direction,friendly_name,is_customer_facing,has_service_interchange,has_step_free_route_information,direction_towards,designated_level_access_point,level_access_by_manual_ramp,additional_accessibility_information
HUBKGX-Plat07-NB-northern,HUBKGX,northern,tube,7,9400ZZLUKSX4,Northbound,Northbound Platform 7,TRUE,FALSE,TRUE,Edgware and High Barnet,TRUE,FALSE,
HUBKGX-Plat07-NB-thameslink,HUBKGX,thameslink,nationalRail,7,,Northbound,Northbound Platform 7,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKGX-Plat08-NB-thameslink,HUBKGX,thameslink,nationalRail,8,,Northbound,Northbound Platform 8,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKGX-Plat08-SB-northern,HUBKGX,northern,tube,8,9400ZZLUKSX5,Southbound,Southbound Platform 8,TRUE,FALSE,TRUE,Morden,TRUE,FALSE,
HUBKGX-Plat09-NB-thameslink,HUBKGX,thameslink,nationalRail,9,,Northbound,Northbound Platform 9,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKGX-Plat10-NB-thameslink,HUBKGX,thameslink,nationalRail,10,,Northbound,Northbound Platform 10,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKGX-Plat11-NB-thameslink,HUBKGX,thameslink,nationalRail,11,,Northbound,Northbound Platform 11,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKNL-Plat01-SB-bakerloo|london-overground,HUBKNL,bakerloo,tube,1,9400ZZLUKSL1,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKNL-Plat02-NB-bakerloo|london-overground,HUBKNL,bakerloo,tube,2,9400ZZLUKSL2,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKNT-Plat01-SB-bakerloo|london-overground,HUBKNT,bakerloo,tube,1,9400ZZLUKEN2,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKNT-Plat02-NB-bakerloo|london-overground,HUBKNT,bakerloo,tube,2,9400ZZLUKEN1,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKPA-Plat01-EB-district,HUBKPA,district,tube,1,,Eastbound,Eastbound Platform 1,TRUE,FALSE,TRUE,High Street Kensington,FALSE,TRUE,Use the Olympia Way entrance for District line or London Overground northbound platform. 
HUBKPA-Plat02-NB-london-overground,HUBKPA,london-overground,overground,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,Stratford,FALSE,TRUE,Use the Olympia Way entrance for District line or London Overground northbound platform. 
HUBKPA-Plat03-SB-london-overground,HUBKPA,london-overground,overground,3,,Southbound,Southbound Platform 3,TRUE,FALSE,TRUE,Clapham Junction,FALSE,TRUE,Use the Russell Road entrance for London Overground southbound platform. 
HUBKTN-Plat01-NB-northern,HUBKTN,northern,tube,1,9400ZZLUKSH1,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKTN-Plat01-SB-thameslink,HUBKTN,thameslink,nationalRail,1,,Southbound,Southbound Platform 1,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKTN-Plat02-NB-thameslink,HUBKTN,thameslink,nationalRail,2,,Northbound,Northbound Platform 2,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBKTN-Plat02-SB-northern,HUBKTN,northern,tube,2,9400ZZLUKSH2,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBKWG-Plat01-EB-district|london-overground,HUBKWG,district,tube,1,9400ZZLUKWG1,Eastbound,Eastbound Platform 1,TRUE,TRUE,TRUE,Earl's Court,FALSE,FALSE,
HUBKWG-Plat02-WB-district|london-overground,HUBKWG,district,tube,2,9400ZZLUKWG2,Westbound,Westbound Platform 2,TRUE,TRUE,TRUE,Richmond,FALSE,TRUE,
HUBLBG-Plat01-NB-northern,HUBLBG,northern,tube,1,9400ZZLULNB1,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,Edgware and High Barnet,TRUE,FALSE,"London Bridge (National Rail) A, Step-free line interchange requires a 410m journey via street and lifts. Jubilee line: for level access leaving the train at Green Park or Wembley Park, please travel in the correct carriage."
HUBLBG-Plat02-SB-northern,HUBLBG,northern,tube,2,9400ZZLULNB1,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,Morden,TRUE,FALSE,
HUBLBG-Plat03-WB-jubilee,HUBLBG,jubilee,tube,3,9400ZZLULNB2,Westbound,Westbound Platform 3,TRUE,FALSE,TRUE,Stanmore,TRUE,FALSE,
HUBLBG-Plat04-EB-jubilee,HUBLBG,jubilee,tube,4,9400ZZLULNB2,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,Stratford,TRUE,FALSE,
HUBLBG-Plat05-NB-thameslink,HUBLBG,thameslink,nationalRail,5,,Northbound,Northbound Platform 4,TRUE,FALSE,TRUE,,TRUE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBLBG-Plat04-SB-thameslink,HUBLBG,thameslink,nationalRail,4,,Southbound,Southbound Platform 5,TRUE,FALSE,TRUE,,TRUE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBLCY-Plat01-SB-dlr,HUBLCY,dlr,dlr,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,Woolwich Arsenal,FALSE,FALSE,
HUBLCY-Plat02-NB-dlr,HUBLCY,dlr,dlr,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,Bank and Stratford,FALSE,FALSE,
HUBLEW-Plat05-NB-dlr,HUBLEW,dlr,dlr,5,,Northbound,Northbound Platform 5,TRUE,FALSE,TRUE,Canary Wharf,FALSE,FALSE,
HUBLEW-Plat06-NB-dlr,HUBLEW,dlr,dlr,6,,Northbound,Northbound Platform 6,TRUE,FALSE,TRUE,Canary Wharf,FALSE,FALSE,
HUBLHS-Plat03-EB-dlr,HUBLHS,dlr,dlr,3,,Eastbound,Eastbound Platform 3,TRUE,FALSE,TRUE,Westferry,FALSE,FALSE,
HUBLHS-Plat04-WB-dlr,HUBLHS,dlr,dlr,4,,Westbound,Westbound Platform 4,TRUE,FALSE,TRUE,Shadwell,FALSE,FALSE,
HUBLST-Plat01-EB-circle|hammersmith-city|metropolitan,HUBLST,circle,tube,1,9400ZZLULVT3,Eastbound,Eastbound Platform 1,TRUE,TRUE,TRUE,Monument,TRUE,FALSE,
HUBLST-Plat01-EB-london-overground,HUBLST,london-overground,overground,1,,Eastbound,Eastbound Platform 1,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat02-EB-london-overground,HUBLST,london-overground,overground,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat02-WB-circle|hammersmith-city|metropolitan,HUBLST,circle,tube,2,9400ZZLULVT4,Westbound,Westbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBLST-Plat03-EB-london-overground,HUBLST,london-overground,overground,3,,Eastbound,Eastbound Platform 3,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat04-EB-central,HUBLST,central,tube,4,9400ZZLULVT1,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBLST-Plat04-EB-london-overground,HUBLST,london-overground,overground,4,,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat05-EB-london-overground,HUBLST,london-overground,overground,5,,Eastbound,Eastbound Platform 5,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat05-WB-central,HUBLST,central,tube,5,9400ZZLULVT2,Westbound,Westbound Platform 5,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBLST-Plat06-EB-london-overground,HUBLST,london-overground,overground,6,,Eastbound,Eastbound Platform 6,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat07-EB-london-overground,HUBLST,london-overground,overground,7,,Eastbound,Eastbound Platform 7,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat08-EB-london-overground,HUBLST,london-overground,overground,8,,Eastbound,Eastbound Platform 8,TRUE,FALSE,TRUE,"Enfield Town, Cheshunt and Chingford",FALSE,TRUE,
HUBLST-Plat15-EB-elizabeth,HUBLST,elizabeth,elizabeth-line,15,,Eastbound,Eastbound Platform 15,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBLST-Plat16-EB-elizabeth,HUBLST,elizabeth,elizabeth-line,16,,Eastbound,Eastbound Platform 16,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBLST-Plat17-EB-elizabeth,HUBLST,elizabeth,elizabeth-line,17,,Eastbound,Eastbound Platform 17,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBLST-Plat18-EB-elizabeth,HUBLST,elizabeth,elizabeth-line,18,,Eastbound,Eastbound Platform 18,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBLST-PlatA-EB-elizabeth,HUBLST,elizabeth,elizabeth-line,A,,Eastbound,Eastbound Platform A,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBLST-PlatB-WB-elizabeth,HUBLST,elizabeth,elizabeth-line,B,,Westbound,Westbound Platform B,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBMJT-EB-tram,HUBMJT,tram,tram,,,Eastbound,Eastbound,TRUE,FALSE,TRUE,,TRUE,FALSE,
HUBMJT-Plat01-NB-thameslink,HUBMJT,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBMJT-Plat02-SB-thameslink,HUBMJT,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBMJT-WB-tram,HUBMJT,tram,tram,,,Westbound,Westbound,TRUE,FALSE,TRUE,,TRUE,FALSE,
HUBMYB-Plat01-NB-bakerloo,HUBMYB,bakerloo,tube,1,9400ZZLUMYB1,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBMYB-Plat02-SB-bakerloo,HUBMYB,bakerloo,tube,2,9400ZZLUMYB2,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWB-Plat01-SB-bakerloo|london-overground,HUBNWB,bakerloo,tube,1,9400ZZLUNWY2,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWB-Plat02-NB-bakerloo|london-overground,HUBNWB,bakerloo,tube,2,9400ZZLUNWY1,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWD-Plat01-NB-london-overground,HUBNWD,london-overground,overground,1,,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,Dalston Junction,FALSE,TRUE,You can only enter and exit the northbound platform via the Station Road entrance
HUBNWD-Plat03-NB-london-overground|thameslink,HUBNWD,london-overground,overground,3,,Northbound,Northbound Platform 3,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWD-Plat04-SB-thameslink,HUBNWD,thameslink,nationalRail,4,,Southbound,Southbound Platform 4,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
HUBNWD-Plat05-SB-london-overground,HUBNWD,london-overground,overground,5,,Southbound,Southbound Platform 5,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWD-Plat06-SB-london-overground,HUBNWD,london-overground,overground,6,,Southbound,Southbound Platform 6,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBNWX-Plat0D-london-overground,HUBNWX,london-overground,overground,D,,,Platform D,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBNXG-Plat01-SB-london-overground,HUBNXG,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,Crystal Palace and West Croydon,FALSE,TRUE,
HUBNXG-Plat05-NB-london-overground,HUBNXG,london-overground,overground,5,,Northbound,Northbound Platform 5,TRUE,FALSE,TRUE,Dalston Junction and Highbury & Islington,FALSE,TRUE,
HUBOLD-Plat01-NB-northern,HUBOLD,northern,tube,1,9400ZZLUODS1,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBOLD-Plat02-SB-northern,HUBOLD,northern,tube,2,9400ZZLUODS1,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBPAD-Plat01-WB-circle|district,HUBPAD,circle,tube,1,9400ZZLUPAC4,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBPAD-Plat02-EB-circle|district,HUBPAD,circle,tube,2,9400ZZLUPAC3,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,"If travelling towards Liverpool Street, take the District Line towards Edgware Road and change there for the Circle line."
HUBPAD-Plat03-NB-bakerloo,HUBPAD,bakerloo,tube,3,9400ZZLUPAC2,Northbound,Northbound Platform 3,TRUE,FALSE,TRUE,,FALSE,TRUE,"For step-free access to the Bakerloo line, customers need to use the Eastbourne Terrace Elizabeth line station entrance which is open between 06:30 and 23:00 on Monday to Saturday (extended opening hours apply from Monday 5 September). It is not open on Sundays."
