id,unique_id,name,latitude,longitude,total_lines,fare_zones
217,940GZZLUSNB,Snaresbrook,51.5808,0.0216,1,4
218,940GZZLUSEA,South Ealing,51.5011,-0.3072,1,3
219,940GZZLUSHH,South Harrow,51.5646,-0.3521,1,5
220,940GZZLUSKS,South Kensington,51.4941,-0.1738,3,1
221,HUBSOK,South Kenton,51.5701,-0.3081,1,4
222,940GZZDLSOQ,South Quay,51.5007,-0.0191,1,2
223,HUBSRU,South Ruislip,51.5569,-0.3988,1,5
224,940GZZLUSWN,South Wimbledon,51.4154,-0.1919,1,3|4
225,940GZZLUSWF,South Woodford,51.5917,0.0275,1,4
226,940GZZLUSFS,Southfields,51.4454,-0.2066,1,3
227,940GZZLUSGT,Southgate,51.6322,-0.128,1,4
228,940GZZLUSWK,Southwark,51.501,-0.1052,1,1
229,940GZZLUSFB,Stamford Brook,51.495,-0.2459,1,2
230,940GZZLUSTM,Stanmore,51.6194,-0.3028,1,5
231,940GZZLUSGN,Stepney Green,51.5221,-0.047,2,2
232,940GZZLUSKW,Stockwell,51.4723,-0.123,2,2
233,HUBSBP,Stonebridge Park,51.5439,-0.2759,1,3
234,HUBSRA,Stratford,51.5416,-0.0042,3,2|3
235,940GZZLUSUH,Sudbury Hill,51.5569,-0.3366,1,4
236,940GZZLUSUT,Sudbury Town,51.5507,-0.3156,1,4
237,910GSURREYQ,Surrey Quays,51.4933,-0.0478,1,2
238,940GZZLUSWC,Swiss Cottage,51.5432,-0.1738,2,2
239,940GZZLUTMP,Temple,51.5111,-0.1141,2,1
240,940GZZLUTHB,Theydon Bois,51.6717,0.1033,1,6
241,940GZZLUTBC,Tooting Bec,51.4361,-0.1598,1,3
242,940GZZLUTBY,Tooting Broadway,51.4275,-0.168,1,3
243,HUBTCR,Tottenham Court Road,51.5165,-0.131,2,1
244,HUBTOM,Tottenham Hale,51.5882,-0.0594,1,3
245,940GZZLUTAW,Totteridge & Whetstone,51.6302,-0.1791,1,4
246,HUBTOG,Tower Gateway,51.5106,-0.0743,1,1
247,940GZZLUTWH,Tower Hill,51.5098,-0.0766,2,1
248,940GZZLUTFP,Tufnell Park,51.5567,-0.1374,1,2
249,940GZZLUTNG,Turnham Green,51.4951,-0.2547,2,2|3
250,940GZZLUTPN,Turnpike Lane,51.5904,-0.1028,1,3
251,HUBUPM,Upminster,51.559,0.251,1,6
252,940GZZLUUPB,Upminster Bridge,51.5582,0.2343,1,6
253,940GZZLUUPY,Upney,51.5385,0.1014,1,4
254,940GZZLUUPK,Upton Park,51.5352,0.0343,2,3
255,940GZZLUUXB,Uxbridge,51.5463,-0.4786,2,6
256,HUBVXH,Vauxhall,51.4861,-0.1253,1,1|2
257,HUBVIC,Victoria,51.4965,-0.1447,3,1
258,HUBWHC,Walthamstow Central,51.583,-0.0195,1,3
259,940GZZLUWSD,Wanstead,51.5775,0.0288,1,4
260,910GWAPPING,Wapping,51.5043,-0.0558,1,2
261,940GZZLUWRR,Warren Street,51.5247,-0.1384,2,1
262,940GZZLUWKA,Warwick Avenue,51.5235,-0.1835,1,2
263,HUBWAT,Waterloo,51.5036,-0.1143,4,1
264,940GZZLUWAF,Watford,51.6573,-0.4177,1,7
265,HUBWMB,Wembley Central,51.5519,-0.2963,1,4
266,940GZZLUWYP,Wembley Park,51.5635,-0.2795,2,4
267,940GZZLUWTA,West Acton,51.518,-0.2809,1,3
268,HUBWBP,West Brompton,51.4872,-0.1953,1,2
269,940GZZLUWFN,West Finchley,51.6095,-0.1883,1,4
270,HUBWEH,West Ham,51.5287,0.0056,3,2|3
271,940GZZLUWHW,West Harrow,51.5795,-0.3533,1,5
272,940GZZDLWIQ,West India Quay,51.507,-0.0203,1,2
273,940GZZLUWKN,West Kensington,51.4907,-0.2065,1,2
274,HUBWRU,West Ruislip,51.5696,-0.4376,1,6
275,940GZZLUWSP,Westbourne Park,51.521,-0.2011,1,2
276,940GZZDLWFE,Westferry,51.5097,-0.0265,1,2
277,HUBWSM,Westminster,51.501,-0.1254,3,1
278,940GZZLUWCY,White City,51.512,-0.2239,1,2
279,HUBZWL,Whitechapel,51.5194,-0.0612,3,2
280,940GZZLUWIG,Willesden Green,51.5492,-0.2215,1,2|3
281,HUBWIJ,Willesden Junction,51.5326,-0.2478,1,2|3
282,HUBWIM,Wimbledon,51.4214,-0.2064,1,3|Trams fare zone
283,940GZZLUWIP,Wimbledon Park,51.4343,-0.1992,1,3
284,940GZZLUWOG,Wood Green,51.5975,-0.1097,1,3
285,940GZZLUWOF,Woodford,51.607,0.0341,1,4
286,940GZZLUWOP,Woodside Park,51.6179,-0.1856,1,4
