Rail Station Name,Travel Location No,Month Name (Travel Date),Calendar Year (Travel Date),Transaction Type,Count of Taps
Clock House,5048,April,2019,Exit,15916
Clock House,5048,April,2019,Entry,17952
Cockfosters,550,April,2019,Entry,84257
Cockfosters,550,April,2019,Exit,81538
Colindale,551,April,2019,Entry,320142
Colindale,551,April,2019,Exit,297636
Colliers Wood,552,April,2019,Entry,279685
Colliers Wood,552,April,2019,Exit,259610
Coulsdon South,5408,April,2019,Entry,49398
Coulsdon South,5408,April,2019,Exit,35827
Coulsdon Town,5382,April,2019,Entry,3825
Coulsdon Town,5382,April,2019,Exit,4075
Covent Garden,553,April,2019,Exit,783319
Covent Garden,553,April,2019,Entry,669241
Crayford,5100,April,2019,Exit,20085
Crayford,5100,April,2019,Entry,31930
Crews Hill,6007,April,2019,Entry,2230
Crews Hill,6007,April,2019,Exit,2157
Cricklewood,1519,April,2019,Exit,30106
Cricklewood,1519,April,2019,Entry,32599
Crofton Park,5078,April,2019,Entry,16289
Crofton Park,5078,April,2019,Exit,11826
Crossharbour,854,April,2019,Entry,59869
Crossharbour,854,April,2019,Exit,51751
Crouch Hill,7406,April,2019,Entry,13424
Crouch Hill,7406,April,2019,Exit,11595
Croxley,554,April,2019,Exit,43060
Croxley,554,April,2019,Entry,45452
Crystal Palace,5356,April,2019,Exit,134034
Crystal Palace,5356,April,2019,Entry,135546
Cuffley,6008,April,2019,Entry,2487
Cuffley,6008,April,2019,Exit,2126
Custom House DLR,887,April,2019,Entry,57494
Custom House DLR,887,April,2019,Exit,51624
Cutty Sark,879,April,2019,Exit,104290
Cutty Sark,879,April,2019,Entry,132233
Cyprus,893,April,2019,Exit,22957
Cyprus,893,April,2019,Entry,25860
Dagenham Dock,7440,April,2019,Exit,10968
Dagenham Dock,7440,April,2019,Entry,11619
Dagenham East,555,April,2019,Entry,118941
Dagenham East,555,April,2019,Exit,103801
Dagenham Heathway,556,April,2019,Exit,218393
Dagenham Heathway,556,April,2019,Entry,229993
Dalston Junction,1443,April,2019,Entry,231641
Dalston Junction,1443,April,2019,Exit,229390
Dalston Kingsland,1429,April,2019,Entry,252451
Dalston Kingsland,1429,April,2019,Exit,246607
Dartford,5101,April,2019,Entry,88725
Dartford,5101,April,2019,Exit,85657
Debden,557,April,2019,Entry,92310
Debden,557,April,2019,Exit,85469
Denmark Hill,5421,April,2019,Exit,231395
Denmark Hill,5421,April,2019,Entry,238431
Deptford,5145,April,2019,Entry,29623
Deptford,5145,April,2019,Exit,24578
Deptford Bridge,897,April,2019,Entry,45283
Deptford Bridge,897,April,2019,Exit,36056
Devons Road,867,April,2019,Entry,40727
Devons Road,867,April,2019,Exit,31874
Dollis Hill,558,April,2019,Exit,145798
Dollis Hill,558,April,2019,Entry,166820
Drayton Green,3099,April,2019,Entry,886
Drayton Green,3099,April,2019,Exit,345
Drayton Pk,6000,April,2019,Exit,10189
Drayton Pk,6000,April,2019,Entry,11186
Ealing Broadway,560,April,2019,Exit,625331
Ealing Broadway,560,April,2019,Entry,654304
Ealing Common,561,April,2019,Entry,124254
Ealing Common,561,April,2019,Exit,122256
Earls Court,562,April,2019,Entry,825929
Earls Court,562,April,2019,Exit,818688
Earlsfield,5584,April,2019,Entry,246212
Earlsfield,5584,April,2019,Exit,228704
Earlswood,5414,April,2019,Exit,804
Earlswood,5414,April,2019,Entry,1093
East Acton,563,April,2019,Entry,161142
East Acton,563,April,2019,Exit,156696
East Croydon,5355,April,2019,Entry,713631
East Croydon,5355,April,2019,Exit,697950
East Dulwich,5358,April,2019,Entry,29109
East Dulwich,5358,April,2019,Exit,26278
East Finchley,565,April,2019,Exit,256781
East Finchley,565,April,2019,Entry,274820
East Ham,566,April,2019,Entry,470980
East Ham,566,April,2019,Exit,449373
East India,883,April,2019,Exit,45734
East India,883,April,2019,Entry,51783
East Putney,567,April,2019,Exit,223770
East Putney,567,April,2019,Entry,227451
Eastcote,564,April,2019,Entry,113592
Eastcote,564,April,2019,Exit,109282
Eden Park,5056,April,2019,Exit,9314
Eden Park,5056,April,2019,Entry,11264
Edgware,568,April,2019,Entry,205334
Edgware,568,April,2019,Exit,194841
Edgware Road B,774,April,2019,Entry,218748
Edgware Road B,774,April,2019,Exit,205449
Edgware Road C&H,569,April,2019,Exit,253090
Edgware Road C&H,569,April,2019,Entry,272107
Edmonton Green,6941,April,2019,Entry,150540
Edmonton Green,6941,April,2019,Exit,144576
Elephant & Castle,570,April,2019,Entry,798714
Elephant & Castle,570,April,2019,Exit,731015
Elephant & Castle,5246,April,2019,Exit,47463
Elephant & Castle,5246,April,2019,Entry,38917
Elm Park,571,April,2019,Exit,117677
Elm Park,571,April,2019,Entry,124415
Elmers End,5049,April,2019,Exit,14319
Elmers End,5049,April,2019,Entry,19099
ELMERS END TRAM               ,9471,April,2019,Exit,45
Elmstead Woods,5135,April,2019,Entry,15973
Elmstead Woods,5135,April,2019,Exit,12699
Elstree & Borehamwood,1542,April,2019,Entry,91946
Elstree & Borehamwood,1542,April,2019,Exit,86180
Eltham,5103,April,2019,Exit,48915
Eltham,5103,April,2019,Entry,57751
Elverson Road,898,April,2019,Entry,20003
Elverson Road,898,April,2019,Exit,14260
Embankment,542,April,2019,Entry,899033
Embankment,542,April,2019,Exit,826221
Emerson Park,7473,April,2019,Exit,3886
Emerson Park,7473,April,2019,Entry,6060
Emirates Greenwich Peninsula,911,April,2019,Entry,29888
Emirates Greenwich Peninsula,911,April,2019,Exit,9190
Emirates Royal Docks,910,April,2019,Entry,19703
Emirates Royal Docks,910,April,2019,Exit,8182
Enfield Chase,6010,April,2019,Exit,44650
Enfield Chase,6010,April,2019,Entry,44034
Enfield Lock,6815,April,2019,Exit,26596
Enfield Lock,6815,April,2019,Entry,33406
Enfield Town,6959,April,2019,Entry,101567
Enfield Town,6959,April,2019,Exit,89660
Epping,572,April,2019,Entry,142449
Epping,572,April,2019,Exit,131259
Epsom,5360,April,2019,Exit,34549
Epsom,5360,April,2019,Entry,34341
Epsom Downs,5361,April,2019,Exit,1665
Epsom Downs,5361,April,2019,Entry,1837
Erith,5104,April,2019,Exit,13459
Erith,5104,April,2019,Entry,16959
Essex Road,6004,April,2019,Exit,12130
Essex Road,6004,April,2019,Entry,13616
Euston LU,574,April,2019,Entry,919286
Euston LU,574,April,2019,Exit,1469182
Euston NR,1444,April,2019,Entry,307117
Euston NR,1444,April,2019,Exit,288224
Euston Square,575,April,2019,Entry,315631
Euston Square,575,April,2019,Exit,477493
Ewell East,5415,April,2019,Exit,6983
Ewell East,5415,April,2019,Entry,8134
Ewell West,5586,April,2019,Exit,17161
Ewell West,5586,April,2019,Entry,20180
Fairlop,576,April,2019,Entry,49161
Fairlop,576,April,2019,Exit,44279
Falconwood,5137,April,2019,Exit,23871
Falconwood,5137,April,2019,Entry,30949
Farringdon,577,April,2019,Entry,982921
Farringdon,577,April,2019,Exit,942834
Feltham,5559,April,2019,Exit,111317
Feltham,5559,April,2019,Entry,117905
Fenchurch Street NR,7490,April,2019,Entry,235128
Fenchurch Street NR,7490,April,2019,Exit,227433
Finchley Central,578,April,2019,Entry,177006
Finchley Central,578,April,2019,Exit,173969
Finchley Road,579,April,2019,Exit,354430
Finchley Road,579,April,2019,Entry,365554
Finchley Road & Frognal,1445,April,2019,Entry,54077
Finchley Road & Frognal,1445,April,2019,Exit,52945
Finsbury Park LU,580,April,2019,Entry,886730
Finsbury Park LU,580,April,2019,Exit,787435
Finsbury Park NR,6119,April,2019,Entry,16182
Finsbury Park NR,6119,April,2019,Exit,49281
Forest Gate,6876,April,2019,Entry,141534
Forest Gate,6876,April,2019,Exit,136373
Forest Hill,5362,April,2019,Entry,205986
Forest Hill,5362,April,2019,Exit,187883
Fulham Broadway,581,April,2019,Entry,338852
Fulham Broadway,581,April,2019,Exit,341350
Fulwell,5587,April,2019,Entry,6556
Fulwell,5587,April,2019,Exit,5044
Gallions Reach,894,April,2019,Entry,22389
Gallions Reach,894,April,2019,Exit,20105
Gants Hill,582,April,2019,Entry,248103
Gants Hill,582,April,2019,Exit,231609
Gatwick Airport,5416,April,2019,Exit,239438
Gatwick Airport,5416,April,2019,Entry,294449
Gidea Park,6877,April,2019,Entry,115444
Gidea Park,6877,April,2019,Exit,101813
Gipsy Hill,5363,April,2019,Entry,56173
Gipsy Hill,5363,April,2019,Exit,50690
Gloucester Road,583,April,2019,Exit,547997
Gloucester Road,583,April,2019,Entry,573523
Golders Green,584,April,2019,Exit,318312
Golders Green,584,April,2019,Entry,324823
Goldhawk Road,585,April,2019,Entry,80873
Goldhawk Road,585,April,2019,Exit,76959
Goodge Street,586,April,2019,Entry,266727
Goodge Street,586,April,2019,Exit,267784
Goodmayes,6878,April,2019,Entry,101759
Goodmayes,6878,April,2019,Exit,92296
Gordon Hill,6028,April,2019,Entry,42926
Gordon Hill,6028,April,2019,Exit,39545
Gospel Oak,1409,April,2019,Entry,100884
Gospel Oak,1409,April,2019,Exit,95222
Grange Hill,587,April,2019,Exit,22016
Grange Hill,587,April,2019,Entry,26061
Grange Park,6029,April,2019,Entry,7421
Grange Park,6029,April,2019,Exit,5078
Grays,7443,April,2019,Entry,74833
Grays,7443,April,2019,Exit,72125
Great Portland Street,588,April,2019,Exit,278001
Great Portland Street,588,April,2019,Entry,299459
Green Park,590,April,2019,Exit,1683071
Green Park,590,April,2019,Entry,1510826
Greenford,589,April,2019,Entry,173726
Greenford,589,April,2019,Exit,166450
Greenwich,928,April,2019,Entry,81298
Greenwich,928,April,2019,Exit,73393
Grove Park,5139,April,2019,Exit,42229
Grove Park,5139,April,2019,Entry,52383
Gunnersbury,591,April,2019,Exit,197878
Gunnersbury,591,April,2019,Entry,217660
Hackbridge,5364,April,2019,Exit,14024
Hackbridge,5364,April,2019,Entry,18254
Hackney Central,6977,April,2019,Entry,247731
Hackney Central,6977,April,2019,Exit,252145
Hackney Downs,6867,April,2019,Entry,92785
Hackney Downs,6867,April,2019,Exit,87546
Hackney Wick,6978,April,2019,Entry,47380
Hackney Wick,6978,April,2019,Exit,45770
Hadley Wood,6075,April,2019,Entry,4671
Hadley Wood,6075,April,2019,Exit,3878
Haggerston,1022,April,2019,Entry,124682
Haggerston,1022,April,2019,Exit,121258
Hainault,592,April,2019,Entry,147641
Hainault,592,April,2019,Exit,137501
Hammersmith C&H,773,April,2019,Exit,362412
Hammersmith C&H,773,April,2019,Entry,396744
Hammersmith D&P,593,April,2019,Entry,1109299
Hammersmith D&P,593,April,2019,Exit,1096948
Hampstead,594,April,2019,Exit,186937
Hampstead,594,April,2019,Entry,170993
Hampstead Heath,1413,April,2019,Entry,143076
Hampstead Heath,1413,April,2019,Exit,140828
Hampton,5560,April,2019,Exit,11860
Hampton,5560,April,2019,Entry,16793
Hampton Court,5561,April,2019,Exit,40862
Hampton Court,5561,April,2019,Entry,48928
Hampton Wick,5589,April,2019,Exit,14154
Hampton Wick,5589,April,2019,Entry,17579
Hanger Lane,595,April,2019,Exit,137037
Hanger Lane,595,April,2019,Entry,149021
Hanwell,3191,April,2019,Entry,9282
Hanwell,3191,April,2019,Exit,7468
Harlesden,596,April,2019,Exit,117747
Harlesden,596,April,2019,Entry,120999
Harold Wood,6879,April,2019,Exit,107623
Harold Wood,6879,April,2019,Entry,116658
Harringay,6012,April,2019,Entry,16626
Harringay,6012,April,2019,Exit,13521
Harringay Green Lanes,7401,April,2019,Entry,21614
Harringay Green Lanes,7401,April,2019,Exit,20500
Harrow & Wealdstone,597,April,2019,Entry,193228
Harrow & Wealdstone,597,April,2019,Exit,179659
Harrow-on-the-Hill,598,April,2019,Exit,423049
Harrow-on-the-Hill,598,April,2019,Entry,405093
Hatch End,1398,April,2019,Entry,26263
Hatch End,1398,April,2019,Exit,24711
Hatton Cross,779,April,2019,Exit,129383
Hatton Cross,779,April,2019,Entry,137126
Haydons Road,5289,April,2019,Exit,5581
Haydons Road,5289,April,2019,Entry,7906
Hayes & Harlington,3186,April,2019,Entry,100262
Hayes & Harlington,3186,April,2019,Exit,83098
Hayes Kent,5050,April,2019,Entry,18935
Hayes Kent,5050,April,2019,Exit,15746
Headstone Lane,1434,April,2019,Exit,9878
Headstone Lane,1434,April,2019,Entry,12420
Heathrow T23 NR,7090,April,2019,Exit,34459
Heathrow T23 NR,7090,April,2019,Entry,29784
Heathrow T4 NR,7091,April,2019,Entry,14498
Heathrow T4 NR,7091,April,2019,Exit,16228
Heathrow T5 NR,9846,April,2019,Exit,21297
Heathrow T5 NR,9846,April,2019,Entry,19795
Heathrow Terminal 4 LU,781,April,2019,Entry,103554
Heathrow Terminal 4 LU,781,April,2019,Exit,89288
Heathrow Terminal 5 LU,783,April,2019,Exit,183593
Heathrow Terminal 5 LU,783,April,2019,Entry,225593
Heathrow Terminals 123 LU,780,April,2019,Entry,409804
Heathrow Terminals 123 LU,780,April,2019,Exit,336407
Hendon,1522,April,2019,Exit,16562
Hendon,1522,April,2019,Entry,20625
Hendon Central,601,April,2019,Entry,283585
Hendon Central,601,April,2019,Exit,258151
Herne Hill,5066,April,2019,Entry,45603
Herne Hill,5066,April,2019,Exit,40588
Heron Quays,855,April,2019,Exit,94433
Heron Quays,855,April,2019,Entry,97453
Hertford East,6818,April,2019,Entry,5958
Hertford East,6818,April,2019,Exit,5601
Hertford North,6085,April,2019,Entry,5849
Hertford North,6085,April,2019,Exit,5003
High Barnet,602,April,2019,Entry,162692
High Barnet,602,April,2019,Exit,151001
High Street Kensington,605,April,2019,Entry,445190
High Street Kensington,605,April,2019,Exit,428477
Highams Park,6919,April,2019,Exit,100242
Highams Park,6919,April,2019,Entry,113527
Highbury & Islington,603,April,2019,Exit,714594
Highbury & Islington,603,April,2019,Entry,691151
Highgate,604,April,2019,Entry,212658
Highgate,604,April,2019,Exit,218826
Hillingdon,606,April,2019,Exit,65691
Hillingdon,606,April,2019,Entry,73194
Hither Green,5107,April,2019,Exit,45413
Hither Green,5107,April,2019,Entry,57423
Holborn,607,April,2019,Entry,1136448
Holborn,607,April,2019,Exit,1237651
Holland Park,608,April,2019,Entry,147801
Holland Park,608,April,2019,Exit,147638
Holloway Road,609,April,2019,Entry,245923
Holloway Road,609,April,2019,Exit,248568
Homerton,6979,April,2019,Entry,201582
Homerton,6979,April,2019,Exit,180970
Honor Oak Park,5418,April,2019,Exit,114270
Honor Oak Park,5418,April,2019,Entry,120480
Horley,5365,April,2019,Entry,8368
Horley,5365,April,2019,Exit,7795
Hornchurch,610,April,2019,Entry,83145
Hornchurch,610,April,2019,Exit,80339
Hornsey,6015,April,2019,Exit,47252
Hornsey,6015,April,2019,Entry,54538
Hounslow,5563,April,2019,Entry,24126
Hounslow,5563,April,2019,Exit,20753
Hounslow Central,611,April,2019,Entry,156192
Hounslow Central,611,April,2019,Exit,151426
Hounslow East,612,April,2019,Exit,160727
Hounslow East,612,April,2019,Entry,151682
Hounslow West,613,April,2019,Entry,147977
Hounslow West,613,April,2019,Exit,141647
Hoxton,1023,April,2019,Entry,115226
Hoxton,1023,April,2019,Exit,117655
Hyde Park Corner,614,April,2019,Entry,249915
Hyde Park Corner,614,April,2019,Exit,249133
Ickenham,615,April,2019,Entry,45374
Ickenham,615,April,2019,Exit,46023
Ilford,6881,April,2019,Exit,322011
Ilford,6881,April,2019,Entry,318850
Imperial Wharf,9586,April,2019,Exit,105101
Imperial Wharf,9586,April,2019,Entry,116333
Island Gardens,856,April,2019,Exit,33326
Island Gardens,856,April,2019,Entry,50274
Isleworth,5592,April,2019,Exit,23202
Isleworth,5592,April,2019,Entry,29062
Kenley,5419,April,2019,Entry,6950
Kenley,5419,April,2019,Exit,4769
Kennington,616,April,2019,Entry,215175
Kennington,616,April,2019,Exit,201378
Kensal Green,617,April,2019,Exit,91590
Kensal Green,617,April,2019,Entry,100129
Kensal Rise,1448,April,2019,Entry,67395
Kensal Rise,1448,April,2019,Exit,62285
Kensington Olympia,618,April,2019,Entry,125309
Kensington Olympia,618,April,2019,Exit,115952
Kent House,5080,April,2019,Exit,18262
Kent House,5080,April,2019,Entry,21551
Kentish Town,619,April,2019,Entry,324317
Kentish Town,619,April,2019,Exit,304510
Kentish Town West,1449,April,2019,Entry,42840
Kentish Town West,1449,April,2019,Exit,43007
Kenton,620,April,2019,Exit,73907
Kenton,620,April,2019,Entry,76595
Kew Bridge,5593,April,2019,Entry,23952
Kew Bridge,5593,April,2019,Exit,21428
Kew Gardens,621,April,2019,Exit,190374
Kew Gardens,621,April,2019,Entry,202564
Kidbrooke,5108,April,2019,Entry,26628
Kidbrooke,5108,April,2019,Exit,19951
Kilburn,622,April,2019,Entry,338498
Kilburn,622,April,2019,Exit,325714
Kilburn High Road,1415,April,2019,Entry,28142
Kilburn High Road,1415,April,2019,Exit,29041
Kilburn Park,623,April,2019,Exit,138241
Kilburn Park,623,April,2019,Entry,145603
King George V,523,April,2019,Entry,35742
King George V,523,April,2019,Exit,29302
Kings Cross LU (North),600,April,2019,Entry,1640003
Kings Cross LU (North),600,April,2019,Exit,1554211
Kings Cross LU (Tube),625,April,2019,Exit,1351503
Kings Cross LU (Tube),625,April,2019,Entry,1284513
Kings Cross LU (Western),772,April,2019,Exit,817780
Kings Cross LU (Western),772,April,2019,Entry,858385
Kings Cross NR,6121,April,2019,Entry,95608
Kings Cross NR,6121,April,2019,Exit,52867
Kingsbury,624,April,2019,Entry,183899
Kingsbury,624,April,2019,Exit,178706
Kingston,5565,April,2019,Exit,153928
Kingston,5565,April,2019,Entry,149201
Kingswood,5366,April,2019,Exit,2732
Kingswood,5366,April,2019,Entry,3386
Knightsbridge,626,April,2019,Entry,784911
Knightsbridge,626,April,2019,Exit,702261
Knockholt,5109,April,2019,Exit,1619
Knockholt,5109,April,2019,Entry,1857
Ladbroke Grove,627,April,2019,Exit,219284
Ladbroke Grove,627,April,2019,Entry,236968
Ladywell,5057,April,2019,Entry,24365
Ladywell,5057,April,2019,Exit,19894
Lambeth North,628,April,2019,Exit,161210
Lambeth North,628,April,2019,Entry,186013
Lancaster Gate,629,April,2019,Exit,265985
Lancaster Gate,629,April,2019,Entry,311723
Langdon Park,853,April,2019,Entry,48270
Langdon Park,853,April,2019,Exit,37129
Latimer Road,630,April,2019,Exit,88026
Latimer Road,630,April,2019,Entry,91714
Lea Bridge,6927,April,2019,Entry,9876
Lea Bridge,6927,April,2019,Exit,8176
Lee,5110,April,2019,Exit,22133
Lee,5110,April,2019,Entry,30592
Leicester Square,631,April,2019,Entry,1593534
Leicester Square,631,April,2019,Exit,1454425
Lewisham DLR,940,April,2019,Entry,128674
Lewisham DLR,940,April,2019,Exit,104932
Lewisham NR,5051,April,2019,Exit,347013
Lewisham NR,5051,April,2019,Entry,341798
Leyton,632,April,2019,Entry,476171
Leyton,632,April,2019,Exit,405178
Leyton Midland Road,7402,April,2019,Entry,33970
Leyton Midland Road,7402,April,2019,Exit,32984
Leytonstone,633,April,2019,Exit,373701
Leytonstone,633,April,2019,Entry,389099
Leytonstone High Road,7403,April,2019,Entry,25641
Leytonstone High Road,7403,April,2019,Exit,24241
Limehouse DLR,862,April,2019,Entry,117304
Limehouse DLR,862,April,2019,Exit,95736
Limehouse NR,7491,April,2019,Exit,92300
Limehouse NR,7491,April,2019,Entry,49126
Liverpool Street LU,634,April,2019,Exit,2775186
Liverpool Street LU,634,April,2019,Entry,2651706
Liverpool Street NR,6965,April,2019,Entry,1592173
Liverpool Street NR,6965,April,2019,Exit,1324482
London Bridge LU,635,April,2019,Exit,3046443
London Bridge LU,635,April,2019,Entry,3167979
London Bridge NR,6336,April,2019,Exit,353620
London Bridge NR,5148,April,2019,Entry,1447791
London Bridge NR,6336,April,2019,Entry,256479
London Bridge NR,5148,April,2019,Exit,1514975
London City Airport,533,April,2019,Exit,56768
London City Airport,533,April,2019,Entry,73854
London Fields,6966,April,2019,Entry,22211
London Fields,6966,April,2019,Exit,22355
Loughborough Junct,5082,April,2019,Exit,37537
Loughborough Junct,5082,April,2019,Entry,42212
Loughton,636,April,2019,Exit,132420
Loughton,636,April,2019,Entry,134441
Lower Sydenham,5053,April,2019,Exit,10519
Lower Sydenham,5053,April,2019,Entry,13164
Maida Vale,637,April,2019,Exit,119403
Maida Vale,637,April,2019,Entry,131316
Malden Manor,5599,April,2019,Exit,7641
Malden Manor,5599,April,2019,Entry,10174
Manor House,638,April,2019,Entry,349950
Manor House,638,April,2019,Exit,334745
Manor Park,6883,April,2019,Exit,92045
Manor Park,6883,April,2019,Entry,92520
Mansion House,639,April,2019,Entry,263815
Mansion House,639,April,2019,Exit,263534
Marble Arch,640,April,2019,Entry,590522
Marble Arch,640,April,2019,Exit,530422
Maryland,6970,April,2019,Exit,49882
Maryland,6970,April,2019,Entry,54153
Marylebone LU,641,April,2019,Entry,513357
Marylebone LU,641,April,2019,Exit,542445
Marylebone NR,1475,April,2019,Exit,92715
Marylebone NR,1475,April,2019,Entry,102777
Maze Hill,5149,April,2019,Entry,21682
Maze Hill,5149,April,2019,Exit,17341
Merstham,5475,April,2019,Entry,6770
Merstham,5475,April,2019,Exit,5202
Mile End,642,April,2019,Entry,566336
Mile End,642,April,2019,Exit,545915
Mill Hill Broadway,1527,April,2019,Entry,64962
Mill Hill Broadway,1527,April,2019,Exit,61457
Mill Hill East,643,April,2019,Entry,27891
Mill Hill East,643,April,2019,Exit,25669
Mitcham Eastfields,5069,April,2019,Entry,31493
Mitcham Eastfields,5069,April,2019,Exit,21535
Mitcham Junction,5427,April,2019,Entry,9954
Mitcham Junction,5427,April,2019,Exit,8246
Monument,644,April,2019,Entry,552148
Monument,644,April,2019,Exit,555328
Moor Park,646,April,2019,Entry,33940
Moor Park,646,April,2019,Exit,31957
Moorgate,645,April,2019,Exit,954161
Moorgate,645,April,2019,Entry,932986
Morden,647,April,2019,Entry,416000
Morden,647,April,2019,Exit,382868
Morden South,5291,April,2019,Entry,1765
Morden South,5291,April,2019,Exit,1376
Mornington Crescent,648,April,2019,Exit,147029
Mornington Crescent,648,April,2019,Entry,176484
Mortlake,5600,April,2019,Exit,28586
Mortlake,5600,April,2019,Entry,35817
Motspur Park,5645,April,2019,Exit,17364
Motspur Park,5645,April,2019,Entry,21431
Mottingham,5118,April,2019,Entry,25587
Mottingham,5118,April,2019,Exit,18964
Mudchute,857,April,2019,Exit,26525
Mudchute,857,April,2019,Entry,35244
Neasden,649,April,2019,Entry,147583
Neasden,649,April,2019,Exit,130983
New Barnet,6018,April,2019,Entry,41372
New Barnet,6018,April,2019,Exit,38522
New Beckenham,5058,April,2019,Entry,13172
New Beckenham,5058,April,2019,Exit,11165
New Cross,5150,April,2019,Exit,104287
New Cross,5150,April,2019,Entry,121043
New Cross Gate,5345,April,2019,Exit,213370
New Cross Gate,5345,April,2019,Entry,207582
New Eltham,5119,April,2019,Entry,72499
New Eltham,5119,April,2019,Exit,35380
New Malden,5567,April,2019,Exit,103263
New Malden,5567,April,2019,Entry,110918
New Southgate,6019,April,2019,Entry,12512
New Southgate,6019,April,2019,Exit,9870
Newbury Park,650,April,2019,Entry,206218
Newbury Park,650,April,2019,Exit,177637
Norbiton,5568,April,2019,Entry,87254
Norbiton,5568,April,2019,Exit,72108
Norbury,5428,April,2019,Entry,112499
Norbury,5428,April,2019,Exit,103507
North Acton,653,April,2019,Entry,229105
North Acton,653,April,2019,Exit,223326
North Dulwich,5429,April,2019,Exit,12498
North Dulwich,5429,April,2019,Entry,14231
North Ealing,654,April,2019,Exit,31027
North Ealing,654,April,2019,Entry,32904
North Greenwich,789,April,2019,Exit,1075575
North Greenwich,789,April,2019,Entry,1018523
North Harrow,656,April,2019,Entry,78399
North Harrow,656,April,2019,Exit,73332
North Sheen,5601,April,2019,Entry,9876
North Sheen,5601,April,2019,Exit,8029
North Wembley,659,April,2019,Exit,57582
North Wembley,659,April,2019,Entry,62624
Northfields,655,April,2019,Exit,147101
Northfields,655,April,2019,Entry,151273
Northolt,657,April,2019,Entry,202029
Northolt,657,April,2019,Exit,186828
Northolt Park,1478,April,2019,Entry,4937
Northolt Park,1478,April,2019,Exit,4110
Northumberld Pk,6971,April,2019,Entry,14046
Northumberld Pk,6971,April,2019,Exit,13384
Northwick Park,660,April,2019,Exit,161099
Northwick Park,660,April,2019,Entry,166549
Northwood,661,April,2019,Exit,99802
Northwood,661,April,2019,Entry,103960
Northwood Hills,662,April,2019,Exit,71728
Northwood Hills,662,April,2019,Entry,76603
Norwood Junction SR,5376,April,2019,Exit,159681
Norwood Junction SR,5376,April,2019,Entry,180509
Notting Hill Gate,663,April,2019,Exit,635523
Notting Hill Gate,663,April,2019,Entry,615149
Nunhead,5068,April,2019,Entry,21744
Nunhead,5068,April,2019,Exit,17148
Oakleigh Park,6020,April,2019,Entry,14580
Oakleigh Park,6020,April,2019,Exit,11988
Oakwood,664,April,2019,Exit,110906
Oakwood,664,April,2019,Entry,112467
Ockendon,7451,April,2019,Entry,25011
Ockendon,7451,April,2019,Exit,17531
Old Street,665,April,2019,Entry,1006289
Old Street,665,April,2019,Exit,1016671
Orpington,5122,April,2019,Exit,136024
Orpington,5122,April,2019,Entry,145503
Osterley,667,April,2019,Exit,86040
Osterley,667,April,2019,Entry,88062
Oval,668,April,2019,Exit,285909
Oval,668,April,2019,Entry,294719
Oxford Circus,669,April,2019,Entry,2894540
Oxford Circus,669,April,2019,Exit,3217710
Paddington HEx,8204,April,2019,Exit,41951
Paddington HEx,8204,April,2019,Entry,41783
Paddington LU,670,April,2019,Exit,1928674
Paddington LU,670,April,2019,Entry,1990631
Paddington NR,3087,April,2019,Exit,316730
Paddington NR,3087,April,2019,Entry,315721
Palmers Green,6021,April,2019,Entry,64281
Palmers Green,6021,April,2019,Exit,50387
Park Royal,671,April,2019,Entry,82085
Park Royal,671,April,2019,Exit,83069
Parsons Green,672,April,2019,Exit,224339
Parsons Green,672,April,2019,Entry,233011
Peckham Rye,5423,April,2019,Entry,258752
Peckham Rye,5423,April,2019,Exit,252749
Penge East,5072,April,2019,Exit,27015
Penge East,5072,April,2019,Entry,32560
Penge West,5378,April,2019,Entry,14536
Penge West,5378,April,2019,Exit,12219
Perivale,673,April,2019,Exit,93791
Perivale,673,April,2019,Entry,97998
Petts Wood,5123,April,2019,Entry,31895
Petts Wood,5123,April,2019,Exit,28225
Piccadilly Circus,674,April,2019,Entry,1715507
Piccadilly Circus,674,April,2019,Exit,1631598
Pimlico,776,April,2019,Exit,460887
Pimlico,776,April,2019,Entry,476591
Pinner,675,April,2019,Exit,107642
Pinner,675,April,2019,Entry,113993
Plaistow,676,April,2019,Entry,202399
Plaistow,676,April,2019,Exit,193016
Plumstead,5208,April,2019,Entry,35840
Plumstead,5208,April,2019,Exit,24023
Ponders End,6819,April,2019,Entry,14588
Ponders End,6819,April,2019,Exit,12378
Pontoon Dock DLR,538,April,2019,Exit,47937
Pontoon Dock DLR,538,April,2019,Entry,55545
Poplar,858,April,2019,Entry,31076
Poplar,858,April,2019,Exit,27163
Preston Road,677,April,2019,Entry,134930
Preston Road,677,April,2019,Exit,129812
Prince Regent,888,April,2019,Entry,55863
Prince Regent,888,April,2019,Exit,46015
Pudding Mill Lane,859,April,2019,Entry,13034
Pudding Mill Lane,859,April,2019,Exit,11461
Purfleet,7453,April,2019,Exit,6596
Purfleet,7453,April,2019,Entry,15838
Purley,5379,April,2019,Entry,80014
Purley,5379,April,2019,Exit,78298
Purley Oaks,5430,April,2019,Entry,9785
Purley Oaks,5430,April,2019,Exit,8288
Putney,5603,April,2019,Entry,310636
Putney,5603,April,2019,Exit,292800
Putney Bridge,678,April,2019,Entry,198768
Putney Bridge,678,April,2019,Exit,208809
Queens Park,680,April,2019,Entry,222197
Queens Park,680,April,2019,Exit,201711
Queens Rd Peckham,5424,April,2019,Exit,125831
Queens Rd Peckham,5424,April,2019,Entry,135334
