entry_date_time,nlc,day,counts
2020-12-25 17:45,500,MTT,69.8
2020-12-25 00:30,500,MTT,0.6
2019-12-25 06:30,500,MTT,111.0
2021-12-25 17:45,500,MTT,150.83333
2020-12-25 17:30,500,MTT,98.0
2021-12-25 08:45,500,MTT,218.94444
2019-12-25 04:30,500,MTT,0.0
2021-12-25 17:30,500,MTT,170.22223
2021-12-25 00:30,500,MTT,3.1666667
2019-12-25 17:45,500,MTT,208.0
2019-12-25 00:30,500,MTT,4.0
2021-12-25 18:15,500,MTT,123.833336
2020-12-25 00:15,500,MTT,2.2
2021-12-25 07:30,500,MTT,165.61111
2019-12-25 18:30,500,MTT,154.0
2021-12-25 04:30,500,MTT,0.0
2019-12-25 18:00,500,MTT,183.0
2020-12-25 18:15,500,MTT,55.9
2019-12-25 08:45,500,MTT,406.0
2020-12-25 04:30,500,MTT,0.0
2020-12-25 18:00,500,MTT,59.6
2021-12-25 18:00,500,MTT,123.611115
2021-12-25 00:15,500,MTT,5.388889
2019-12-25 18:15,500,MTT,185.0
2019-12-25 17:30,500,MTT,216.0
2020-12-25 16:45,500,MTT,83.0
2019-12-25 01:00,500,MTT,3.0
2021-12-25 16:45,500,MTT,138.0
2019-12-25 09:00,500,MTT,311.0
2019-12-25 16:45,500,MTT,204.0
2020-12-25 09:00,500,MTT,79.1
2020-12-25 16:30,500,MTT,90.4
2021-12-25 01:00,500,MTT,2.5555556
2021-12-25 16:30,500,MTT,132.72223
2020-12-25 01:00,500,MTT,1.5
2019-12-25 17:00,500,MTT,189.0
2020-12-25 17:15,500,MTT,77.7
2021-12-25 17:15,500,MTT,189.44444
2020-12-25 00:45,500,MTT,1.8
2019-12-25 00:45,500,MTT,4.0
2020-12-25 06:30,500,MTT,49.3
2019-12-25 17:15,500,MTT,208.0
2021-12-25 06:30,500,MTT,74.22222
2020-12-25 17:00,500,MTT,72.6
2021-12-25 17:00,500,MTT,141.55556
2021-12-25 00:45,500,MTT,2.5
2019-12-25 14:30,500,MTT,103.0
2019-12-25 03:15,500,MTT,0.0
2019-12-25 11:45,500,MTT,101.0
2020-12-25 11:45,500,MTT,34.7
2021-12-25 11:45,500,MTT,73.22222
2021-12-25 03:15,500,MTT,0.0
2019-12-25 11:30,500,MTT,109.0
2019-12-25 10:15,500,MTT,127.0
2020-12-25 11:30,500,MTT,39.0
2020-12-25 03:15,500,MTT,0.0
2021-12-25 11:30,500,MTT,75.44444
2019-12-25 07:15,500,MTT,223.0
2019-12-25 12:00,500,MTT,90.0
2019-12-25 12:15,500,MTT,110.0
2019-12-25 03:00,500,MTT,0.0
2020-12-25 12:15,500,MTT,38.5
2020-12-25 10:00,500,MTT,41.5
2021-12-25 12:15,500,MTT,74.333336
2021-12-25 03:00,500,MTT,0.0
2020-12-25 12:00,500,MTT,31.1
2021-12-25 12:00,500,MTT,68.55556
2021-12-25 10:00,500,MTT,89.666664
2020-12-25 03:00,500,MTT,0.0
2020-12-25 05:15,500,MTT,8.6
2020-12-25 10:45,500,MTT,35.0
2021-12-25 10:45,500,MTT,72.05556
2021-12-25 03:30,500,MTT,0.0
2019-12-25 10:45,500,MTT,108.0
2021-12-25 07:15,500,MTT,141.72223
2020-12-25 10:30,500,MTT,43.0
2019-12-25 03:45,500,MTT,0.0
2021-12-25 10:30,500,MTT,86.22222
2020-12-25 03:45,500,MTT,0.0
2020-12-25 10:15,500,MTT,43.0
2020-12-25 11:15,500,MTT,40.0
2019-12-25 11:15,500,MTT,105.0
2021-12-25 11:15,500,MTT,76.333336
2020-12-25 07:15,500,MTT,102.9
2021-12-25 03:45,500,MTT,0.0
2019-12-25 11:00,500,MTT,100.0
2020-12-25 03:30,500,MTT,0.0
2020-12-25 11:00,500,MTT,30.9
2021-12-25 10:15,500,MTT,76.94444
2021-12-25 11:00,500,MTT,68.333336
2021-12-25 05:15,500,MTT,12.055555
2019-12-25 03:30,500,MTT,0.0
2019-12-25 12:30,500,MTT,110.0
2020-12-25 13:45,500,MTT,42.1
2020-12-25 02:15,500,MTT,0.0
2021-12-25 13:45,500,MTT,70.888885
2019-12-25 13:45,500,MTT,92.0
2019-12-25 05:30,500,MTT,36.0
2019-12-25 02:15,500,MTT,0.0
2019-12-25 07:00,500,MTT,156.0
2020-12-25 13:30,500,MTT,42.3
2021-12-25 13:30,500,MTT,71.77778
2021-12-25 02:15,500,MTT,0.0
2021-12-25 04:00,500,MTT,0.0
2019-12-25 09:45,500,MTT,171.0
2019-12-25 14:00,500,MTT,87.0
2021-12-25 02:00,500,MTT,0.0
2020-12-25 14:15,500,MTT,56.7
2021-12-25 09:30,500,MTT,124.0
2021-12-25 14:15,500,MTT,85.77778
2020-12-25 02:00,500,MTT,0.0
2020-12-25 14:00,500,MTT,36.5
2021-12-25 14:00,500,MTT,65.72222
2019-12-25 14:15,500,MTT,105.0
2019-12-25 13:30,500,MTT,101.0
2020-12-25 09:45,500,MTT,44.5
2019-12-25 12:45,500,MTT,100.0
2020-12-25 12:45,500,MTT,36.2
2019-12-25 02:45,500,MTT,0.0
2020-12-25 02:45,500,MTT,0.0
2021-12-25 07:00,500,MTT,106.611115
2021-12-25 12:45,500,MTT,72.0
2020-12-25 12:30,500,MTT,33.3
2019-12-25 04:00,500,MTT,0.0
2021-12-25 12:30,500,MTT,80.27778
2019-12-25 10:00,500,MTT,133.0
2021-12-25 02:45,500,MTT,0.0
2019-12-25 13:00,500,MTT,100.0
2021-12-25 09:45,500,MTT,114.55556
2020-12-25 07:00,500,MTT,73.7
2020-12-25 02:30,500,MTT,0.0
2020-12-25 13:15,500,MTT,37.8
2019-12-25 02:30,500,MTT,0.0
2021-12-25 13:15,500,MTT,72.22222
2019-12-25 13:15,500,MTT,100.0
2020-12-25 13:00,500,MTT,32.8
2020-12-25 04:00,500,MTT,0.0
2021-12-25 13:00,500,MTT,67.166664
2021-12-25 02:30,500,MTT,0.0
2019-12-25 00:15,500,MTT,6.0
2021-12-25 20:00,500,MTT,36.666668
2021-12-25 21:00,500,MTT,26.444445
2020-12-25 21:15,500,MTT,10.7
2019-12-25 22:45,500,MTT,23.0
2019-12-25 19:45,500,MTT,65.0
2021-12-25 07:45,500,MTT,193.66667
2021-12-25 23:00,500,MTT,14.444445
2020-12-25 19:15,500,MTT,27.6
2021-12-25 20:15,500,MTT,43.61111
2021-12-25 21:30,500,MTT,28.0
2020-12-25 23:30,500,MTT,6.6
2019-12-25 19:15,500,MTT,89.0
2020-12-25 21:30,500,MTT,10.0
2020-12-25 22:00,500,MTT,9.9
2020-12-25 19:00,500,MTT,33.9
2019-12-25 20:30,500,MTT,45.0
2020-12-25 04:45,500,MTT,0.6
2019-12-25 00:00,500,MTT,9.0
2020-12-25 05:00,500,MTT,15.3
2021-12-25 04:45,500,MTT,1.6111112
2020-12-25 21:00,500,MTT,12.0
2021-12-25 06:15,500,MTT,51.22222
2019-12-25 22:00,500,MTT,26.0
2019-12-25 08:30,500,MTT,512.0
2020-12-25 08:00,500,MTT,120.3
2021-12-25 19:00,500,MTT,78.22222
2019-12-25 21:45,500,MTT,28.0
2019-12-25 19:30,500,MTT,76.0
2019-12-25 23:30,500,MTT,17.0
2021-12-25 06:00,500,MTT,36.27778
2020-12-25 23:00,500,MTT,6.1
2021-12-25 19:30,500,MTT,54.72222
2019-12-25 21:15,500,MTT,36.0
2019-12-25 08:00,500,MTT,426.0
2019-12-25 08:15,500,MTT,492.0
2021-12-25 22:45,500,MTT,19.777779
2020-12-25 19:30,500,MTT,24.2
2020-12-25 23:45,500,MTT,5.5
2020-12-25 06:00,500,MTT,22.4
2020-12-25 06:15,500,MTT,37.5
2021-12-25 19:15,500,MTT,70.05556
2021-12-25 21:45,500,MTT,22.5
2021-12-25 08:15,500,MTT,304.77777
2019-12-25 23:45,500,MTT,14.0
2020-12-25 20:15,500,MTT,35.2
2021-12-25 23:45,500,MTT,7.0555553
2020-12-25 05:45,500,MTT,15.3
2019-12-25 20:15,500,MTT,59.0
2020-12-25 21:45,500,MTT,9.6
2020-12-25 22:45,500,MTT,10.5
2019-12-25 06:15,500,MTT,90.0
2021-12-25 22:15,500,MTT,26.555555
2021-12-25 23:30,500,MTT,12.5
2019-12-25 23:00,500,MTT,18.0
2020-12-25 22:30,500,MTT,10.1
2020-12-25 23:15,500,MTT,11.5
2019-12-25 18:45,500,MTT,117.0
2019-12-25 07:45,500,MTT,344.0
2020-12-25 07:45,500,MTT,116.2
2021-12-25 05:45,500,MTT,19.88889
2021-12-25 21:15,500,MTT,27.277779
2020-12-25 22:15,500,MTT,11.5
2021-12-25 22:30,500,MTT,30.722221
